frame, Pts detected, Pts after NMS, Pts Stereo Match, Mean 3D reproj error, 8-point ransac it, Pts Tracking, Pts Quad Match, GN it, GN mean it,  Num inliers GN
0,2009,476,222,0.1234,8,192,115,3,5,73
1,2006,470,242,0.130757,9,201,113,4,4,86
2,2010,455,231,0.151057,11,199,110,4,6,77
3,2011,470,252,0.150282,14,209,108,4,5,67
4,2005,469,244,0.148702,11,207,110,4,8,74
5,2005,473,246,0.129448,10,215,127,4,6,88
6,2004,472,258,0.137995,19,211,123,4,6,77
7,2004,476,256,0.148092,10,222,125,4,6,83
8,2007,470,261,0.154539,4,239,136,3,5,94
9,2006,471,266,0.148149,7,243,142,4,6,86
10,2008,486,271,0.142422,14,238,132,3,7,83
11,2006,498,288,0.13233,10,250,150,3,5,102
12,2007,504,288,0.12914,16,235,149,4,5,104
13,2004,512,289,0.136362,24,218,121,3,4,81
14,2006,501,265,0.1251,5,230,140,3,5,88
15,2008,508,276,0.116067,4,265,163,4,4,110
16,2007,521,286,0.149174,5,268,162,4,6,111
17,2005,514,287,0.121957,4,275,170,4,5,114
18,2007,508,290,0.138558,5,277,169,4,7,106
19,2006,503,290,0.133395,5,271,173,4,6,114
20,2004,504,310,0.12756,6,291,181,4,7,113
21,2007,513,312,0.122551,6,282,179,4,6,122
22,2010,480,281,0.14228,7,255,152,4,6,99
23,2010,487,301,0.137152,5,279,175,4,6,110
24,2006,488,298,0.154339,6,250,138,4,6,83
25,2006,481,306,0.149618,6,259,150,4,8,91
26,2004,484,296,0.143239,9,247,148,4,6,106
27,2007,473,312,0.148696,16,248,159,4,8,89
28,2005,483,281,0.133138,9,245,141,4,8,80
29,2005,483,277,0.149414,8,243,138,3,7,83
30,2010,481,290,0.154677,10,246,129,3,7,79
31,2006,467,294,0.15016,8,256,153,4,8,88
32,2004,479,331,0.133657,14,286,179,4,6,104
33,2007,475,308,0.151608,12,258,142,4,6,85
34,2008,472,323,0.126014,28,241,149,4,6,88
35,2008,478,323,0.150318,13,261,164,3,8,82
36,2008,473,307,0.136526,4,280,165,4,7,107
37,2010,480,321,0.158419,4,301,192,4,7,119
38,2006,489,323,0.134206,5,296,192,3,8,112
39,2006,472,305,0.13335,7,269,168,3,7,105
40,2012,499,307,0.123369,5,281,177,3,7,102
41,2004,475,301,0.111237,6,281,187,4,6,107
42,2008,485,308,0.149021,6,286,170,3,8,95
43,2010,485,326,0.134844,5,309,201,3,7,122
44,2005,485,337,0.161534,15,324,204,4,8,127
